Type,Planned For,Filed Against,ID,Requirement Type,Summary,Severity,Customer Impact,State,Customer Name,Region,Tag,Owner,Priority,FMEA Total,Creation Date,Resolution date,Modification Time
Issue,Unassigned,DIAStudio/DIADesigner,581951,Anomaly,[JIRA] (程式編輯) [IABGVOC-2091] W3A 專案編譯時出現多筆 C0115 Overmapping 錯誤,Blocker,High,Review,陳嘉俊,IA Internal-IMSBU,"w3a, jira_voc_ims, devnetwork_ethercat_iomapping, devhardware_layout_moduletable_iomap, programming_compile",Unassigned,High,1000,2026/5/18 下午 3:02,,2026/5/18 下午 7:46
Issue,Designer Rev1.15.0 Plan,DIAStudio/DIADesigner,579103,Anomaly,[JIRA] (程式編輯) [IABGVOC-2014] LD中输出节点状态显示异常,Major,High,Review,郭德山,IA Internal-SC,"w3a, jira_voc_sc, step_control, programming_lang_ld_monitor, 1.15.0_initial",ELVIS.CT.CHANG 張錦宗,High,400,2026/4/29 下午 8:19,,2026/5/5 下午 6:04
Issue,Designer Rev1.14.0 Sprint2,DIAStudio/DIADesigner,579102,Anomaly,[JIRA] (程式編輯) [IABGVOC-2013] 及時刷新 LOG 狀態下關閉頁籤，在线仿真發生例外,Critical,High,Verification,郭德山,IA Internal-SC,"w3a, jira_voc_sc, step_control, deverrorinfo, 1.14.0_add",KAKA.WU 吳思言,High,600,2026/4/29 下午 8:15,,2026/5/13 下午 6:48
Issue,Designer Rev1.14.0 Sprint3,DIAStudio/DIADesigner,579098,Anomaly,[JIRA] (調適) [IABGVOC-1999] 示波器监控无曲线，无值，属于已知问题,Major,Medium,Closed,韓軼,IA Internal-SC,"jira_voc_dgc, oscilloscope, 1.14.0_initial, dgc_fae",JOHNNY.MC.YEH 葉明勳,High,240,2026/4/29 下午 6:59,2026/5/13 上午 11:04,2026/5/13 上午 11:08
Issue,Requirement Analysis Phase,DIAStudio/DIADesigner,579005,Anomaly,[JIRA] (程式編輯) [IABGVOC-1994] EXCEL导入MC_xxx FB的变量，但是在 LD 中引用该变数会再跳出宣告的视窗(会重复宣告),Major,Medium,Review,韓軼,DGC-China,"jira_voc_dgc, dgc_fae, programming_glovar, programming_lang_ld_edit",Unassigned,High,240,2026/4/29 下午 1:37,,2026/4/29 下午 1:37
Issue,Unassigned,DIAStudio/DIADesigner,579002,Anomaly,[JIRA] (專案編譯) [IABGVOC-1993] 下载时还会重新编译一次(实体机、模拟器需要智能判断),Major,Medium,Review,韓軼,DGC-China,"jira_voc_dgc, dgc_fae, downloaduploadmgr, programming_compile, op_key_issue",Unassigned,High,240,2026/4/29 下午 1:31,,2026/5/13 上午 9:13
Issue,Designer Rev1.15.0 Plan,DIAStudio/DIADesigner,578892,Anomaly,[JIRA] (程式編輯) [IABGVOC-1964] 梯形图下Axis1的轴变量无法将其他类似位置等变量列出，但是完全拼出后也是可以正常使用的,Major,Medium,Review,韓軼,DGC-China,"jira_voc_dgc, dgc_fae, programming_lang_ld, 1.15.0_initial, prog",HARVEY.XIE 謝孟軒,High,240,2026/4/28 下午 6:38,,2026/5/5 下午 4:14
Issue,Unassigned,DIAStudio/DIADesigner,578889,Anomaly,[JIRA] (硬體配置) [IABGVOC-1955] 重新安裝 COMMGR 後，每次在专案按了连线就会跳Exception,Critical,High,Review,韓軼,DGC-China,"jira_voc_dgc, dgc_fae, communication_setting, config",Unassigned,High,600,2026/4/28 下午 6:14,,2026/5/5 下午 4:16
Issue,Requirement Analysis Phase,DIAStudio/DIADesigner,578888,Anomaly,[JIRA] (網路配置) [IABGVOC-1958] EtherCAT 插入設備時彈出例外視窗,Critical,High,Review,韓軼,DGC-China,"jira_voc_dgc, dgc_fae, devnetwork_ethercat, config",Unassigned,High,240,2026/4/28 下午 6:07,,2026/5/5 下午 6:07
Issue,Designer Rev1.14.0 Sprint2,DIAStudio/DIADesigner,578885,Anomaly,[JIRA] (調適) [IABGVOC-1959] 示波器：轴监控选择Motion_Tag_Table.Axis_1.SetPosition显示报错（示波器）以及示波器直接从程序选用变量，会有报错提示,Major,Medium,Closed,韓軼,DGC-China,"jira_voc_dgc, dgc_fae, oscilloscope, w3a, escape",Unassigned,High,240,2026/4/28 下午 5:57,2026/5/4 上午 8:51,2026/5/18 下午 6:44
Issue,Designer Rev1.14.0 Sprint2,DIAStudio/DIADesigner,578880,Anomaly,[JIRA] (硬體配置) [IABGVOC-1965] 下方狀態列仿真器名称不符,Minor,Medium,Review & Approval,韓軼,DGC-China,"jira_voc_dgc, dgc_fae, communication_setting, escape, config, testcase_done, userstory_yes",XAVIERA.FAN 范珮欣,High,120,2026/4/28 下午 5:48,2026/5/12 下午 2:53,2026/5/12 下午 2:53
